2010-06-21 22:46:15,453 | OSM_2_OA      | INFO   | Started
2010-06-21 22:46:17,032 | OA            | INFO   | {'city': u'Saint-Genis-Pouilly', 'housenum': u'3', 'osmid': u'565493018', 'locality': '', 'country': '', 'lon': u'6.0259436', 'street': u'rue Lafayette', 'lat': u'46.2457280'}
2010-06-21 22:46:17,032 | OA            | INFO   | {'city': '', 'housenum': u'2', 'osmid': u'766698695', 'locality': '', 'country': '', 'lon': u'6.2370372', 'street': u'route de Geneve', 'lat': u'46.3776132'}
2010-06-21 22:46:17,032 | OA            | INFO   | {'city': u'Cologny', 'housenum': u'71', 'osmid': u'413587102', 'locality': '', 'country': u'CH', 'lon': u'6.1899028', 'street': u'Chemin de Planta', 'lat': u'46.2157765'}
2010-06-21 22:46:17,037 | OA            | INFO   | {'city': '', 'housenum': u'14bis', 'osmid': u'499340284', 'locality': '', 'country': '', 'lon': u'6.1462765', 'street': u'Rue du Mont-Blanc', 'lat': u'46.2079919'}
2010-06-21 22:46:17,037 | OA            | INFO   | {'city': '', 'housenum': u'8', 'osmid': u'626076085', 'locality': '', 'country': '', 'lon': u'6.1419753', 'street': '', 'lat': u'46.1972855'}
2010-06-21 22:46:17,037 | OA            | INFO   | {'city': '', 'housenum': u'12', 'osmid': u'617617089', 'locality': '', 'country': '', 'lon': u'6.2174497', 'street': '', 'lat': u'46.4407771'}
2010-06-21 22:46:17,038 | OA            | INFO   | {'city': u'Gen\xe8ve', 'housenum': u'4', 'osmid': u'430485157', 'locality': '', 'country': '', 'lon': u'6.1356474', 'street': u'Prairie', 'lat': u'46.2094426'}
2010-06-21 22:46:17,038 | OA            | INFO   | {'city': u'Gen\xe8ve', 'housenum': u'65', 'osmid': u'481408209', 'locality': '', 'country': u'CH', 'lon': u'6.1369837', 'street': u'Boulevard Carl Vogt', 'lat': u'46.1974590'}
2010-06-21 22:46:17,038 | OA            | INFO   | {'city': u'Ornex', 'housenum': u'95', 'osmid': u'709005268', 'locality': '', 'country': '', 'lon': u'6.1119496', 'street': u'rue du P\xe8re Adam', 'lat': u'46.2634201'}
2010-06-21 22:46:17,038 | OA            | INFO   | {'city': u'Versoix', 'housenum': u'10', 'osmid': u'675604501', 'locality': '', 'country': '', 'lon': u'6.1704303', 'street': u'Route de Suisse', 'lat': u'46.2741748'}
2010-06-21 22:46:17,038 | OA            | INFO   | {'city': '', 'housenum': u'16', 'osmid': u'624685952', 'locality': '', 'country': '', 'lon': u'6.1623403', 'street': '', 'lat': u'46.198025'}
2010-06-21 22:46:17,039 | OA            | INFO   | {'city': u'Saint-Genis-Pouilly', 'housenum': u'1', 'osmid': u'334539210', 'locality': '', 'country': '', 'lon': u'6.0260569', 'street': u'rue Lafayette', 'lat': u'46.2456270'}
2010-06-21 22:46:17,039 | OA            | INFO   | {'city': u'Ornex', 'housenum': u'99', 'osmid': u'709005163', 'locality': '', 'country': '', 'lon': u'6.1116706', 'street': u'rue du P\xe8re Adam', 'lat': u'46.2634646'}
2010-06-21 22:46:17,039 | OA            | INFO   | {'city': '', 'housenum': u'76', 'osmid': u'529338907', 'locality': '', 'country': '', 'lon': u'6.0307678', 'street': '', 'lat': u'46.0883251'}
2010-06-21 22:46:17,039 | OA            | INFO   | {'city': '', 'housenum': u'5', 'osmid': u'311240695', 'locality': '', 'country': '', 'lon': u'6.2259357', 'street': u'route du Stand', 'lat': u'46.3821968'}
2010-06-21 22:46:17,039 | OA            | INFO   | {'city': '', 'housenum': u'8', 'osmid': u'311240694', 'locality': '', 'country': '', 'lon': u'6.2319939', 'street': u'route de Divonne', 'lat': u'46.3824914'}
2010-06-21 22:46:17,039 | OA            | INFO   | {'city': u'Gen\xe8ve', 'housenum': u'21', 'osmid': u'413515781', 'locality': '', 'country': u'CH', 'lon': u'6.1629646', 'street': u'Rue du Clos', 'lat': u'46.2052277'}
2010-06-21 22:46:17,040 | OA            | INFO   | {'city': '', 'housenum': u'11', 'osmid': u'36662823', 'locality': '', 'country': '', 'lon': u'6.1408960', 'street': u'Pl. de la Synagogue', 'lat': u'46.2027793'}
2010-06-21 22:46:17,040 | OA            | INFO   | {'city': u'Saint-Genis-Pouilly', 'housenum': u'2', 'osmid': u'565493020', 'locality': '', 'country': '', 'lon': u'6.0269277', 'street': u'rue Lafayette', 'lat': u'46.2461500'}
2010-06-21 22:46:17,040 | OA            | INFO   | {'city': u'Gen\xe8ve', 'housenum': u'28', 'osmid': u'278010469', 'locality': '', 'country': u'CH', 'lon': u'6.1427492', 'street': u"Boulevard du Pont-d'Arve", 'lat': u'46.1950116'}
2010-06-21 22:46:17,040 | OA            | INFO   | {'city': '', 'housenum': u'39', 'osmid': u'766695864', 'locality': '', 'country': '', 'lon': u'6.2363023', 'street': u'rue de la Gare', 'lat': u'46.3833937'}
2010-06-21 22:46:17,040 | OA            | INFO   | {'city': '', 'housenum': u'17', 'osmid': u'766695865', 'locality': '', 'country': '', 'lon': u'6.239199', 'street': u'rue St-Jean', 'lat': u'46.3830126'}
2010-06-21 22:46:17,040 | OA            | INFO   | {'city': '', 'housenum': u'62', 'osmid': u'766691083', 'locality': '', 'country': '', 'lon': u'6.2286419', 'street': u'rte de Clementy', 'lat': u'46.3816693'}
2010-06-21 22:46:17,041 | OA            | INFO   | {'city': '', 'housenum': u'60', 'osmid': u'766691175', 'locality': '', 'country': '', 'lon': u'6.2287277', 'street': u'rte de Clementy', 'lat': u'46.381636'}
2010-06-21 22:46:17,041 | OA            | INFO   | {'city': '', 'housenum': u'26', 'osmid': u'661059200', 'locality': '', 'country': '', 'lon': u'6.2540353', 'street': '', 'lat': u'46.3963256'}
2010-06-21 22:46:17,042 | OA            | INFO   | {'city': '', 'housenum': u'42', 'osmid': u'661059201', 'locality': '', 'country': '', 'lon': u'6.253487', 'street': '', 'lat': u'46.3958899'}
2010-06-21 22:46:17,042 | OA            | INFO   | {'city': '', 'housenum': u'52', 'osmid': u'661059202', 'locality': '', 'country': '', 'lon': u'6.2530326', 'street': '', 'lat': u'46.3961528'}
2010-06-21 22:46:17,042 | OA            | INFO   | {'city': u'Fillinges', 'housenum': u'260', 'osmid': u'62009860', 'locality': '', 'country': u'FR', 'lon': 6.3401328791087037, 'street': '', 'lat': 46.150061880549103}
2010-06-21 22:46:17,042 | OA            | INFO   | {'city': u'Fillinges', 'housenum': u'576', 'osmid': u'62013399', 'locality': '', 'country': u'FR', 'lon': 6.3375475663125034, 'street': u'Route des Nants', 'lat': 46.147784266509724}
2010-06-21 22:46:17,042 | OA            | INFO   | {'city': u'Fillinges', 'housenum': u'321', 'osmid': u'62013730', 'locality': '', 'country': u'FR', 'lon': 6.3404404911356513, 'street': u'Route des Nants', 'lat': 46.149285276867268}
2010-06-21 22:46:17,042 | OA            | INFO   | {'city': u'Fillinges', 'housenum': u'410', 'osmid': u'62013400', 'locality': '', 'country': u'FR', 'lon': 6.3391635903965389, 'street': u'Route des Nants', 'lat': 46.148980845897619}
2010-06-21 22:46:17,043 | OA            | INFO   | {'city': u'Fillinges', 'housenum': u'484', 'osmid': u'62013401', 'locality': '', 'country': u'FR', 'lon': 6.3385667287728307, 'street': u'Route des Nants', 'lat': 46.14822728213921}
2010-06-21 22:46:17,043 | OA            | INFO   | {'city': '', 'housenum': u'18', 'osmid': u'30663945', 'locality': '', 'country': '', 'lon': 6.0555462557147184, 'street': '', 'lat': 46.449258630989355}
2010-06-21 22:46:17,043 | OA            | INFO   | {'city': '', 'housenum': u'19', 'osmid': u'30663944', 'locality': '', 'country': '', 'lon': 6.0556392676225714, 'street': '', 'lat': 46.449475245724699}
2010-06-21 22:46:17,044 | OA            | INFO   | {'city': '', 'housenum': u'16', 'osmid': u'30663947', 'locality': '', 'country': '', 'lon': 6.0551604672463544, 'street': '', 'lat': 46.448921797150369}
2010-06-21 22:46:17,044 | OA            | INFO   | {'city': '', 'housenum': u'17', 'osmid': u'30663946', 'locality': '', 'country': '', 'lon': 6.0553412458364511, 'street': '', 'lat': 46.449072132612542}
2010-06-21 22:46:17,044 | OA            | INFO   | {'city': '', 'housenum': u'22', 'osmid': u'30663941', 'locality': '', 'country': '', 'lon': 6.0561809698491222, 'street': '', 'lat': 46.449978613556659}
2010-06-21 22:46:17,045 | OA            | INFO   | {'city': '', 'housenum': u'20', 'osmid': u'30663940', 'locality': '', 'country': '', 'lon': 6.0558563169504769, 'street': '', 'lat': 46.449683646989271}
2010-06-21 22:46:17,045 | OA            | INFO   | {'city': '', 'housenum': u'21', 'osmid': u'30663942', 'locality': '', 'country': '', 'lon': 6.0559975000000001, 'street': '', 'lat': 46.449840299999998}
2010-06-21 22:46:17,045 | OA            | INFO   | {'city': '', 'housenum': u'14', 'osmid': u'30663949', 'locality': '', 'country': '', 'lon': 6.0548396340523469, 'street': '', 'lat': 46.448559520534864}
2010-06-21 22:46:17,045 | OA            | INFO   | {'city': '', 'housenum': u'15', 'osmid': u'30663948', 'locality': '', 'country': '', 'lon': 6.0549767670639874, 'street': '', 'lat': 46.448725847063919}
2010-06-21 22:46:17,045 | OA            | INFO   | {'city': '', 'housenum': u'5', 'osmid': u'30663923', 'locality': '', 'country': '', 'lon': 6.0541253438412586, 'street': '', 'lat': 46.44766718203595}
2010-06-21 22:46:17,046 | OA            | INFO   | {'city': '', 'housenum': u'4', 'osmid': u'30663922', 'locality': '', 'country': '', 'lon': 6.0540823499999998, 'street': '', 'lat': 46.447870600000009}
2010-06-21 22:46:17,046 | OA            | INFO   | {'city': '', 'housenum': u'3', 'osmid': u'30663921', 'locality': '', 'country': '', 'lon': 6.0541341000764834, 'street': '', 'lat': 46.448062476295632}
2010-06-21 22:46:17,046 | OA            | INFO   | {'city': '', 'housenum': u'2', 'osmid': u'30663920', 'locality': '', 'country': '', 'lon': 6.0543041999999998, 'street': '', 'lat': 46.448219949999988}
2010-06-21 22:46:17,047 | OA            | INFO   | {'city': '', 'housenum': u'9', 'osmid': u'30663927', 'locality': '', 'country': '', 'lon': 6.0547603500000005, 'street': '', 'lat': 46.448067949999995}
2010-06-21 22:46:17,047 | OA            | INFO   | {'city': '', 'housenum': u'8', 'osmid': u'30663925', 'locality': '', 'country': '', 'lon': 6.0545811787729802, 'street': '', 'lat': 46.447929547939403}
2010-06-21 22:46:17,048 | OA            | INFO   | {'city': '', 'housenum': u'7', 'osmid': u'30663924', 'locality': '', 'country': '', 'lon': 6.0545167955148633, 'street': '', 'lat': 46.44773378250779}
2010-06-21 22:46:17,048 | OA            | INFO   | {'city': '', 'housenum': u'11', 'osmid': u'30663929', 'locality': '', 'country': '', 'lon': 6.0552100931107029, 'street': '', 'lat': 46.44844164154388}
2010-06-21 22:46:17,048 | OA            | INFO   | {'city': '', 'housenum': u'10', 'osmid': u'30663928', 'locality': '', 'country': '', 'lon': 6.0549424538165528, 'street': '', 'lat': 46.448237033479074}
2010-06-21 22:46:17,048 | OA            | INFO   | {'city': u'Fillinges', 'housenum': u'200', 'osmid': u'62009859', 'locality': '', 'country': u'FR', 'lon': 6.3403662570264432, 'street': u'Route des Nants', 'lat': 46.150347331954634}
2010-06-21 22:46:17,048 | OA            | INFO   | {'city': u'Fillinges', 'housenum': u'24', 'osmid': u'62009752', 'locality': '', 'country': '', 'lon': 6.3418654396893883, 'street': u'Route des Nants', 'lat': 46.151690966824731}
2010-06-21 22:46:17,049 | OA            | INFO   | {'city': '', 'housenum': u'4b', 'osmid': u'50259001', 'locality': '', 'country': '', 'lon': 6.2376234664656147, 'street': u'Rue du Vieux-Village', 'lat': 46.410039001905716}
2010-06-21 22:46:17,049 | OA            | INFO   | {'city': u'Fillinges', 'housenum': u'308', 'osmid': u'62011961', 'locality': '', 'country': u'FR', 'lon': 6.3396260514912779, 'street': u'Route des Nants', 'lat': 46.149718528928325}
2010-06-21 22:46:17,049 | OA            | INFO   | {'city': '', 'housenum': u'12', 'osmid': u'38346201', 'locality': '', 'country': '', 'lon': 6.1565272706588843, 'street': u'Route de Vessy', 'lat': 46.180590295883896}
2010-06-21 22:46:17,049 | OA            | INFO   | {'city': '', 'housenum': u'13', 'osmid': u'30663950', 'locality': '', 'country': '', 'lon': 6.0546987923538049, 'street': '', 'lat': 46.448355434081215}
2010-06-21 22:46:17,049 | OA            | INFO   | {'city': '', 'housenum': u'12', 'osmid': u'30663930', 'locality': '', 'country': '', 'lon': 6.0552904499999993, 'street': '', 'lat': 46.448667100000002}
2010-06-21 22:46:17,049 | OA            | INFO   | {'city': '', 'housenum': u'31', 'osmid': u'30663931', 'locality': '', 'country': '', 'lon': 6.0555248999999991, 'street': '', 'lat': 46.448795250000003}
2010-06-21 22:46:17,050 | OA            | INFO   | {'city': '', 'housenum': u'30', 'osmid': u'30663932', 'locality': '', 'country': '', 'lon': 6.0558116329020004, 'street': '', 'lat': 46.448900898451491}
2010-06-21 22:46:17,050 | OA            | INFO   | {'city': '', 'housenum': u'29', 'osmid': u'30663933', 'locality': '', 'country': '', 'lon': 6.0559788000000001, 'street': '', 'lat': 46.449112400000004}
2010-06-21 22:46:17,050 | OA            | INFO   | {'city': '', 'housenum': u'27', 'osmid': u'30663934', 'locality': '', 'country': '', 'lon': 6.0562923481517288, 'street': '', 'lat': 46.449188482948081}
2010-06-21 22:46:17,050 | OA            | INFO   | {'city': '', 'housenum': u'28', 'osmid': u'30663935', 'locality': '', 'country': '', 'lon': 6.0560763000000009, 'street': '', 'lat': 46.449357599999999}
2010-06-21 22:46:17,051 | OA            | INFO   | {'city': '', 'housenum': u'26', 'osmid': u'30663936', 'locality': '', 'country': '', 'lon': 6.0564392999999983, 'street': '', 'lat': 46.449402999999997}
2010-06-21 22:46:17,051 | OA            | INFO   | {'city': '', 'housenum': u'25', 'osmid': u'30663937', 'locality': '', 'country': '', 'lon': 6.0564701525136817, 'street': '', 'lat': 46.449607667092444}
2010-06-21 22:46:17,051 | OA            | INFO   | {'city': '', 'housenum': u'24', 'osmid': u'30663938', 'locality': '', 'country': '', 'lon': 6.0565126999999999, 'street': '', 'lat': 46.449795049999992}
2010-06-21 22:46:17,051 | OA            | INFO   | {'city': '', 'housenum': u'23', 'osmid': u'30663939', 'locality': '', 'country': '', 'lon': 6.0561785500000003, 'street': '', 'lat': 46.449578250000002}
2010-06-21 22:46:17,052 | OA            | INFO   | {'city': u'Fillinges', 'housenum': u'274', 'osmid': u'62011962', 'locality': '', 'country': u'FR', 'lon': 6.3399587655506684, 'street': u'Route des Nants', 'lat': 46.149825043728384}
2010-06-21 22:46:17,052 | OA            | INFO   | {'city': u'Fillinges', 'housenum': u'331', 'osmid': u'62011965', 'locality': '', 'country': u'FR', 'lon': 6.340110841668765, 'street': u'Route des Nants', 'lat': 46.149103595543721}
2010-06-21 22:46:17,052 | OA            | INFO   | {'city': u'Fillinges', 'housenum': u'328', 'osmid': u'62011964', 'locality': '', 'country': u'FR', 'lon': 6.3395644290238717, 'street': u'Route des Nants', 'lat': 46.149431409998726}
2010-06-21 22:46:17,052 | OA            | INFO   | {'city': '', 'housenum': u'1', 'osmid': u'30663919', 'locality': '', 'country': '', 'lon': 6.0544345147630727, 'street': '', 'lat': 46.448384115737923}
2010-06-21 22:52:10,379 | OSM_2_OA      | INFO   | Started
2010-06-21 22:52:10,379 | OA            | INFO   | Object created
2010-06-21 22:53:10,446 | OSM_2_OA      | INFO   | Started
2010-06-21 22:53:10,446 | OA            | INFO   | Object created
2010-06-21 22:53:10,446 | OA            | INFO   | connecting to postgres://postgres:posgres@localhost:5432/OA.org
2010-06-21 22:53:10,446 | OSM           | INFO   | Object created
2010-06-21 22:53:10,447 | OSM           | INFO   | connecting to http://www.informationfreeway.org/api/0.6/
2010-06-21 22:53:10,447 | OSM           | INFO   | request: http://www.informationfreeway.org/api/0.6/*[addr:housenumber][bbox=6,46,6.1,46.1]
2010-06-21 22:53:10,448 | OSM           | INFO   | downloading to temp file /var/folders/S-/S-g8-be0FZKLT9b3k9i0Mk+++TI/-Tmp-/temp.txt
2010-06-21 22:53:10,907 | OSMDelta_2_AddressRowConverter | INFO   | Object created
2010-06-21 22:53:28,006 | OSM_2_OA      | INFO   | Started
2010-06-21 22:53:28,006 | OA            | INFO   | Object created
2010-06-21 22:53:28,006 | OA            | INFO   | connecting to postgres://postgres:posgres@localhost:5432/OA.org
2010-06-21 22:53:28,006 | OSM           | INFO   | Object created
2010-06-21 22:53:28,006 | OSM           | INFO   | connecting to http://www.informationfreeway.org/api/0.6/
2010-06-21 22:53:28,006 | OSM           | INFO   | request: http://www.informationfreeway.org/api/0.6/*[addr:housenumber][bbox=6,46,6.1,46.1]
2010-06-21 22:53:28,009 | OSM           | INFO   | downloading to temp file /var/folders/S-/S-g8-be0FZKLT9b3k9i0Mk+++TI/-Tmp-/temp.txt
2010-06-21 22:53:28,430 | OSMDelta_2_AddressRowConverter | INFO   | Object created
2010-06-21 22:54:59,043 | OSM_2_OA      | INFO   | Started
2010-06-21 22:54:59,044 | OA            | INFO   | Object created
2010-06-21 22:54:59,044 | OA            | INFO   | connecting to postgres://postgres:posgres@localhost:5432/OA.org
2010-06-21 22:54:59,044 | OSM           | INFO   | Object created
2010-06-21 22:54:59,044 | OSM           | INFO   | connecting to http://www.informationfreeway.org/api/0.6/
2010-06-21 22:54:59,044 | OSM           | INFO   | request: http://www.informationfreeway.org/api/0.6/*[addr:housenumber][bbox=6,46,6.1,46.1]
2010-06-21 22:54:59,045 | OSM           | INFO   | downloading to temp file /var/folders/S-/S-g8-be0FZKLT9b3k9i0Mk+++TI/-Tmp-/temp.txt
2010-06-21 22:54:59,500 | OSMDelta_2_AddressRowConverter | INFO   | Object created
2010-06-21 22:55:25,059 | OSM_2_OA      | INFO   | Started
2010-06-21 22:55:25,059 | OA            | INFO   | Object created
2010-06-21 22:55:25,059 | OA            | INFO   | connecting to postgres://postgres:posgres@localhost:5432/OA.org
2010-06-21 22:55:25,059 | OSM           | INFO   | Object created
2010-06-21 22:55:25,059 | OSM           | INFO   | connecting to http://www.informationfreeway.org/api/0.6/
2010-06-21 22:55:25,059 | OSM           | INFO   | request: http://www.informationfreeway.org/api/0.6/*[addr:housenumber][bbox=6,46,6.1,46.1]
2010-06-21 22:55:25,061 | OSM           | INFO   | downloading to temp file /var/folders/S-/S-g8-be0FZKLT9b3k9i0Mk+++TI/-Tmp-/temp.txt
2010-06-21 22:55:25,491 | OSMDelta_2_AddressRowConverter | INFO   | Object created
2010-06-21 23:19:07,753 | OSM_2_OA      | INFO   | Started
2010-06-21 23:19:07,754 | OA            | INFO   | Object created
2010-06-21 23:19:07,754 | OA            | INFO   | connecting to postgres://postgres:posgres@localhost:5432/OA.org
2010-06-21 23:19:07,754 | OSM           | INFO   | Object created
2010-06-21 23:19:07,754 | OSM           | INFO   | connecting to http://www.informationfreeway.org/api/0.6/
2010-06-21 23:19:07,754 | OSM           | INFO   | request: http://www.informationfreeway.org/api/0.6/*[addr:housenumber][bbox=6,46,6.1,46.1]
2010-06-21 23:19:07,755 | OSM           | INFO   | downloading to temp file /var/folders/S-/S-g8-be0FZKLT9b3k9i0Mk+++TI/-Tmp-/temp.txt
2010-06-21 23:19:08,183 | OSMDelta_2_AddressRowConverter | INFO   | Object created
2010-06-21 23:20:32,811 | OSM_2_OA      | INFO   | Started
2010-06-21 23:20:32,811 | OA            | INFO   | Object created
2010-06-21 23:20:32,812 | OA            | INFO   | connecting to postgres://postgres:posgres@localhost:5432/OA.org
2010-06-21 23:20:32,812 | OSM           | INFO   | Object created
2010-06-21 23:20:32,812 | OSM           | INFO   | connecting to http://www.informationfreeway.org/api/0.6/
2010-06-21 23:20:32,812 | OSM           | INFO   | request: http://www.informationfreeway.org/api/0.6/*[addr:housenumber][bbox=5,45,7,47]
2010-06-21 23:20:32,832 | OSM           | INFO   | downloading to temp file /var/folders/S-/S-g8-be0FZKLT9b3k9i0Mk+++TI/-Tmp-/temp.txt
2010-06-21 23:23:04,664 | OSMDelta_2_AddressRowConverter | INFO   | Object created
2010-06-21 23:29:28,985 | OSM_2_OA      | INFO   | Started
2010-06-21 23:29:29,016 | OA            | INFO   | Object created
2010-06-21 23:29:29,016 | OA            | INFO   | connecting to postgres://postgres:posgres@localhost:5432/OA.org
2010-06-21 23:29:29,016 | OSM           | INFO   | Object created
2010-06-21 23:29:29,017 | OSM           | INFO   | connecting to http://www.informationfreeway.org/api/0.6/
2010-06-21 23:29:29,017 | OSM           | INFO   | request: http://www.informationfreeway.org/api/0.6/*[addr:housenumber][bbox=5,45,7,47]
2010-06-21 23:29:29,042 | OSM           | INFO   | downloading to temp file /var/folders/S-/S-g8-be0FZKLT9b3k9i0Mk+++TI/-Tmp-/temp.txt
2010-06-21 23:29:51,589 | OSMDelta_2_AddressRowConverter | INFO   | Object created
2010-06-21 23:37:09,241 | OSM_2_OA      | INFO   | Started
2010-06-21 23:37:09,296 | OA            | INFO   | Object created
2010-06-21 23:37:09,296 | OA            | INFO   | connecting to postgres://postgres:posgres@localhost:5432/OA.org
2010-06-21 23:37:09,297 | OSM           | INFO   | Object created
2010-06-21 23:37:09,297 | OSM           | INFO   | connecting to http://www.informationfreeway.org/api/0.6/
2010-06-21 23:37:09,297 | OSM           | INFO   | request: http://www.informationfreeway.org/api/0.6/*[addr:housenumber][bbox=5,45,7,47]
2010-06-21 23:37:09,298 | OSM           | INFO   | downloading to temp file /var/folders/S-/S-g8-be0FZKLT9b3k9i0Mk+++TI/-Tmp-/temp.txt
2010-06-21 23:37:32,882 | OSMDelta_2_AddressRowConverter | INFO   | Object created
2010-06-21 23:58:19,994 | OSM_2_OA      | INFO   | Started
2010-06-21 23:58:20,008 | OA            | INFO   | Object created
2010-06-21 23:58:20,008 | OA            | INFO   | connecting to postgres://postgres:posgres@localhost:5432/OA.org
2010-06-21 23:58:20,008 | OSM           | INFO   | Object created
2010-06-21 23:58:20,009 | OSM           | INFO   | connecting to http://www.informationfreeway.org/api/0.6/
2010-06-21 23:58:20,009 | OSM           | INFO   | request: http://www.informationfreeway.org/api/0.6/*[addr:housenumber][bbox=5,45,7,47]
2010-06-21 23:58:20,010 | OSM           | INFO   | downloading to temp file /var/folders/S-/S-g8-be0FZKLT9b3k9i0Mk+++TI/-Tmp-/temp.txt
2010-06-21 23:58:45,162 | OSMDelta_2_AddressRowConverter | INFO   | Object created
2010-06-22 00:00:44,738 | OSM_2_OA      | INFO   | Started
2010-06-22 00:00:44,769 | OA            | INFO   | Object created
2010-06-22 00:00:44,770 | OA            | INFO   | connecting to postgres://postgres:posgres@localhost:5432/OA.org
2010-06-22 00:00:44,770 | OSM           | INFO   | Object created
2010-06-22 00:00:44,770 | OSM           | INFO   | connecting to http://www.informationfreeway.org/api/0.6/
2010-06-22 00:00:44,771 | OSM           | INFO   | request: http://www.informationfreeway.org/api/0.6/*[addr:housenumber][bbox=6,46,6.1,46.1]
2010-06-22 00:00:44,772 | OSM           | INFO   | downloading to temp file /var/folders/S-/S-g8-be0FZKLT9b3k9i0Mk+++TI/-Tmp-/temp.txt
2010-06-22 00:00:45,262 | OSMDelta_2_AddressRowConverter | INFO   | Object created
2010-06-22 00:01:18,877 | OSM_2_OA      | INFO   | Started
2010-06-22 00:01:18,877 | OA            | INFO   | Object created
2010-06-22 00:01:18,877 | OA            | INFO   | connecting to postgres://postgres:posgres@localhost:5432/OA.org
2010-06-22 00:01:18,888 | OSM           | INFO   | Object created
2010-06-22 00:01:18,888 | OSM           | INFO   | connecting to http://www.informationfreeway.org/api/0.6/
2010-06-22 00:01:18,889 | OSM           | INFO   | request: http://www.informationfreeway.org/api/0.6/*[addr:housenumber][bbox=6,46,6.1,46.1]
2010-06-22 00:01:18,931 | OSM           | INFO   | downloading to temp file /var/folders/S-/S-g8-be0FZKLT9b3k9i0Mk+++TI/-Tmp-/temp.txt
2010-06-22 00:01:19,683 | OSMDelta_2_AddressRowConverter | INFO   | Object created
2010-06-22 00:01:36,512 | OSM_2_OA      | INFO   | Started
2010-06-22 00:01:36,512 | OA            | INFO   | Object created
2010-06-22 00:01:36,512 | OA            | INFO   | connecting to postgres://postgres:posgres@localhost:5432/OA.org
2010-06-22 00:01:36,513 | OSM           | INFO   | Object created
2010-06-22 00:01:36,513 | OSM           | INFO   | connecting to http://www.informationfreeway.org/api/0.6/
2010-06-22 00:01:36,513 | OSM           | INFO   | request: http://www.informationfreeway.org/api/0.6/*[addr:housenumber][bbox=6,46,6.5,46.5]
2010-06-22 00:01:36,514 | OSM           | INFO   | downloading to temp file /var/folders/S-/S-g8-be0FZKLT9b3k9i0Mk+++TI/-Tmp-/temp.txt
2010-06-22 00:01:48,387 | OSMDelta_2_AddressRowConverter | INFO   | Object created
2010-06-22 00:07:08,909 | OSM_2_OA      | INFO   | Started
2010-06-22 00:07:08,909 | OA            | INFO   | Object created
2010-06-22 00:07:08,909 | OA            | INFO   | connecting to postgres://postgres:posgres@localhost:5432/OA.org
2010-06-22 00:07:08,909 | OSM           | INFO   | Object created
2010-06-22 00:07:08,910 | OSM           | INFO   | connecting to http://www.informationfreeway.org/api/0.6/
2010-06-22 00:07:08,910 | OSM           | INFO   | request: http://www.informationfreeway.org/api/0.6/*[addr:housenumber][bbox=6,46,6.5,46.5]
2010-06-22 00:07:08,911 | OSM           | INFO   | downloading to temp file /var/folders/S-/S-g8-be0FZKLT9b3k9i0Mk+++TI/-Tmp-/temp.txt
2010-06-22 00:07:16,570 | OSMDelta_2_AddressRowConverter | INFO   | Object created
2010-06-22 00:09:36,469 | OSM_2_OA      | INFO   | Started
2010-06-22 00:09:36,469 | OA            | INFO   | Object created
2010-06-22 00:09:36,470 | OA            | INFO   | connecting to postgres://postgres:posgres@localhost:5432/OA.org
2010-06-22 00:09:36,471 | OSM           | INFO   | Object created
2010-06-22 00:09:36,471 | OSM           | INFO   | connecting to http://www.informationfreeway.org/api/0.6/
2010-06-22 00:09:36,472 | OSM           | INFO   | request: http://www.informationfreeway.org/api/0.6/*[addr:housenumber][bbox=6,46,6.5,46.5]
